timestamp,observations,average_gross_edge,maximum_gross_edge,average_net_edge,maximum_net_edge,qualified_opportunities
2026-09-21 14:57:00+00:00,0,,,,,0
2026-09-21 14:58:00+00:00,0,,,,,0
2026-09-21 14:59:00+00:00,0,,,,,0
2026-09-21 15:00:00+00:00,0,,,,,0
2026-09-21 15:01:00+00:00,0,,,,,0
2026-09-21 15:02:00+00:00,0,,,,,0
2026-09-21 15:03:00+00:00,0,,,,,0
2026-09-21 15:04:00+00:00,0,,,,,0
2026-09-21 15:05:00+00:00,0,,,,,0
2026-09-21 15:06:00+00:00,0,,,,,0
2026-09-21 15:07:00+00:00,0,,,,,0
2026-09-21 15:08:00+00:00,0,,,,,0
2026-09-21 15:09:00+00:00,0,,,,,0
2026-09-21 15:10:00+00:00,0,,,,,0
2026-09-21 15:11:00+00:00,0,,,,,0
2026-09-21 15:12:00+00:00,0,,,,,0
2026-09-21 15:13:00+00:00,0,,,,,0
2026-09-21 15:14:00+00:00,0,,,,,0
2026-09-21 15:15:00+00:00,64,-0.0013124999999998437,-0.0009999999999998,-0.0033124999999998438,-0.0029999999999998,0
2026-09-21 15:16:00+00:00,5,-0.0011999999999999001,-0.0009999999999998,-0.0031999999999999,-0.0029999999999998,0
2026-09-21 15:17:00+00:00,0,,,,,0
2026-09-21 15:18:00+00:00,0,,,,,0
2026-09-21 15:19:00+00:00,0,,,,,0
2026-09-21 15:20:00+00:00,0,,,,,0
2026-09-21 15:21:00+00:00,0,,,,,0
2026-09-21 15:22:00+00:00,0,,,,,0
2026-09-21 15:23:00+00:00,0,,,,,0
2026-09-21 15:24:00+00:00,0,,,,,0
2026-09-21 15:25:00+00:00,0,,,,,0
2026-09-21 15:26:00+00:00,0,,,,,0
2026-09-21 15:27:00+00:00,0,,,,,0
2026-09-21 15:28:00+00:00,0,,,,,0
2026-09-21 15:29:00+00:00,0,,,,,0
2026-09-21 15:30:00+00:00,0,,,,,0
2026-09-21 15:31:00+00:00,8,-0.0017499999999998374,-0.0009999999999998,-0.0037499999999998372,-0.0029999999999998,0
2026-09-21 15:32:00+00:00,0,,,,,0
2026-09-21 15:33:00+00:00,0,,,,,0
2026-09-21 15:34:00+00:00,0,,,,,0
2026-09-21 15:35:00+00:00,60,-0.00121666666666651,-0.0009999999999998,-0.0032166666666665097,-0.0029999999999998,0
2026-09-21 15:36:00+00:00,0,,,,,0
2026-09-21 15:37:00+00:00,0,,,,,0
2026-09-21 15:38:00+00:00,0,,,,,0
2026-09-21 15:39:00+00:00,0,,,,,0
2026-09-21 15:40:00+00:00,69,-0.0013333333333331813,-0.0009999999999998,-0.0033333333333331813,-0.0029999999999998,0
2026-09-21 15:41:00+00:00,0,,,,,0
2026-09-21 15:42:00+00:00,0,,,,,0
2026-09-21 15:43:00+00:00,0,,,,,0
2026-09-21 15:44:00+00:00,0,,,,,0
2026-09-21 15:45:00+00:00,69,-0.0013333333333331813,-0.0009999999999998,-0.0033333333333331813,-0.0029999999999998,0
2026-09-21 15:46:00+00:00,0,,,,,0
2026-09-21 15:47:00+00:00,4,-0.0024999999999999,-0.0009999999999998,-0.0044999999999999,-0.0029999999999998,0
2026-09-21 15:48:00+00:00,0,,,,,0
2026-09-21 15:49:00+00:00,0,,,,,0
2026-09-21 15:50:00+00:00,64,-0.0012968749999998517,-0.0009999999999998,-0.0032968749999998516,-0.0029999999999998,0
2026-09-21 15:51:00+00:00,0,,,,,0
2026-09-21 15:52:00+00:00,69,-0.0013478260869563725,-0.0009999999999998,-0.0033478260869563726,-0.0029999999999998,0
2026-09-21 15:53:00+00:00,69,-0.0013333333333331813,-0.0009999999999998,-0.0033333333333331813,-0.0029999999999998,0
